density,otsu_error,formulation_ceiling,attributable_to_otsu
clustered,-62.5,-57.8,-4.7
dense,-46.0,-38.1,-7.9
normal,-19.5,-14.9,-4.6
sparse,-3.2,-2.7,-0.5
