luma_std,blue_std,luma_max,blue_max,luma_otsu,blue_otsu
9.666654425674803,27.275008051370566,90,255,35,101
18.628469687118063,52.5050589411373,90,255,35,100
12.849585328294873,36.26177507699407,90,255,32,93
19.036363281109672,53.59012334147971,90,255,34,98
26.98412105851386,76.01888600845983,90,255,37,105
19.96900000773305,56.31663630111497,90,255,33,96
8.77640788707802,24.801780418587978,90,255,37,106
14.00543323232815,39.51750606581754,90,255,32,93
12.398066930085122,34.96369116828295,90,255,30,85
16.101258375403134,45.37523181711889,90,255,35,100
23.296675001127795,65.59050875620078,90,255,35,101
18.686733269634743,52.6306178928137,90,255,37,106
14.195805580611168,40.02433166302002,90,255,35,101
19.945810475298394,56.21531445749163,90,255,38,109
19.896940440829816,56.02563333307509,90,255,35,100
19.29708013963638,54.417302458426434,90,255,33,96
21.638035859119377,60.975696442591804,90,255,33,96
20.211810831426625,56.979938300556945,90,255,37,105
9.507623020921374,26.794466389334037,90,255,32,92
18.982041660890495,53.53451971365772,90,255,35,100
