loss,macro_dice,macro_iou,micro_dice,micro_iou,dice_std,dice_min,dice_max
dice,0.9961,0.9923,0.996,0.9921,0.0009,0.9945,0.9977
bce+dice,0.9961,0.9923,0.996,0.9921,0.001,0.9935,0.9976
bce,0.9955,0.9911,0.9956,0.9912,0.0011,0.9937,0.9977
