epoch,train_loss,val_macro_dice,val_macro_iou,val_micro_dice
1,0.694086492061615,0.1372644454240799,0.07565078884363174,0.14066049733415464
2,0.614906394481659,0.908599853515625,0.8328183889389038,0.9103589139651159
3,0.5841630816459655,0.8878148794174194,0.7986793518066406,0.8932292487799975
4,0.5595590233802795,0.8902141451835632,0.8025410771369934,0.8956826896581942
5,0.5399722337722779,0.9131233096122742,0.8404504656791687,0.9178059368545416
6,0.5207091122865677,0.9576718211174011,0.9189922213554382,0.9612621086207753
7,0.5005893051624298,0.9687148928642273,0.9394577741622925,0.9711659537768577
8,0.48133604526519774,0.9720837473869324,0.945796012878418,0.9745791047119746
9,0.4624066948890686,0.9726662635803223,0.9468884468078613,0.9746300211411698
10,0.4441182494163513,0.9730173349380493,0.9475486874580383,0.9751845785308606
11,0.42539939284324646,0.98779296875,0.9759165644645691,0.9888761296115688
12,0.4071928530931473,0.9769843220710754,0.9550736546516418,0.9786406425079457
13,0.38954279124736785,0.9895374178886414,0.9793193936347961,0.9902553410625676
14,0.37157664000988005,0.9765456318855286,0.9542425274848938,0.978125308336962
15,0.35378624200820924,0.9929057955741882,0.9859223365783691,0.9932275600119607
16,0.33676968812942504,0.9911214113235474,0.9824211001396179,0.9917184057675787
17,0.32017609775066375,0.9897489547729492,0.9797344207763672,0.9905548583223796
18,0.3036016449332237,0.9925994873046875,0.9853240847587585,0.9931435736672135
19,0.287022066116333,0.9933422207832336,0.9867860674858093,0.9938999593325633
20,0.27112078964710234,0.986897349357605,0.9741630554199219,0.9877503015075463
21,0.25532219260931016,0.9909507632255554,0.9820831418037415,0.9916553619425478
22,0.24038899391889573,0.9956219792366028,0.9912840127944946,0.9955362540803496
23,0.2265669122338295,0.9913584589958191,0.9828810691833496,0.9918153011313448
24,0.212900410592556,0.9929790496826172,0.9860665202140808,0.9934728402922957
25,0.19863358736038209,0.9958177804946899,0.9916731715202332,0.9953468633003444
26,0.18484887331724167,0.996124267578125,0.9922803044319153,0.9960451208878094
27,0.17319300174713134,0.9958100318908691,0.991656482219696,0.9957251831519872
28,0.16066275238990785,0.9940398931503296,0.9881576299667358,0.9944155400649874
29,0.149121805280447,0.9951754808425903,0.9904004335403442,0.9952968989708532
30,0.13967427015304565,0.9907352328300476,0.981665313243866,0.9915682967954565
